Artist,Hour,stage,date,id
Bleachers,19:40 - 20:40,Pull & Bear,10.06.22,2eam0iDomRHGBypaDQLwWI
The Smile,21:50 - 23:05,Pull & Bear,10.06.22,6styCzc1Ej4NxISL0LiigM
Run The Jewels,00:45 - 01:45,Pull & Bear,10.06.22,4RnBFZRiMLRyZy0AzzTg2C
Erika de Casier,16:45 - 17:30,Dice FKA Ray-Ban,10.06.22,1nIJEqPyIj5qutlgWNmQB0
Remi Wolf,18:25 - 19:15,Dice FKA Ray-Ban,10.06.22,0NB5HROxc8dDBXpkIi1v3d
PinkPantheress,20:15 - 21:05,Dice FKA Ray-Ban,10.06.22,78rUTD7y6Cy67W1RVzYs7t
Courtney Barnett,22:15 - 23:15,Dice FKA Ray-Ban,10.06.22,4OOlG5eBXSkSAAEeKjJb5Y
Britanny Howard,00:25 - 01:25,Dice FKA Ray-Ban,10.06.22,4XquDVA8pkg5Lx91No1JxB
Burna Boy,02:50 - 04:00,Dice FKA Ray-Ban,10.06.22,3wcj11K77LjEY1PkEazffa
Danny L Harle,04:10 - 06:00,Dice FKA Ray-Ban,10.06.22,1PNvaesh1mkKZucGhBuqgD
Nueva Vulcano,17:35 - 18:20,Primavera,10.06.22,07KQg01nfkJUG5zgSKuJYK
Japanese Breakfast,19:20 - 20:10,Primavera,10.06.22,7MoIc5s9KXolCBH1fy9kkw
Giveon,21:10 - 22:10,Primavera,10.06.22,4fxd5Ee7UefO4CUXgwJ7IP
Khea,23:20 - 00:20,Primavera,10.06.22,4m6ubhNsdwF4psNf3R8kwR
The Jesus and Mary Chain,01:30 - 02:45,Primavera,10.06.22,4rjlerN21ygkIhmUv55irs 
yeule,17:45 - 18:30,Pitchfork,10.06.22,1WZarnZpWEv7dDtjAETt4X
Dorian Electra,19:25 - 20:10,Pitchfork,10.06.22,202HZzqKvPsMHcbwnDZx7u
The Murder Capital,21:05 - 21:50,Pitchfork,10.06.22,18M7pJRsgFVjEBZ5ufmJAp
IC3PEAK,22:45 - 23:30,Pitchfork,10.06.22,3luonLzvSOxdU8ytCaEIK8
Sampa the Great,00:25 - 01:10,Pitchfork,10.06.22,7fw0E8WHdG3r9SuPBcGmWk
Pa Salieu,02:05 - 02:50,Pitchfork,10.06.22,290nCNEce1y6rfoJiO2rK7
Grimes  ,03:45 - 05:00,Pitchfork,10.06.22,053q0ukIDRgzwTr4vNSwab
Maeve,17:00 - 17:40,Adidas,10.06.22,0tjJosKJDhjhGh2P8NtiK3
Menta,20:15 - 21:00,Adidas,10.06.22,6LlGOJmoJ97bhGx3UX2URn
Triángulo de Amor Bizarro,21:55 - 22:40,Adidas,10.06.22,6A6B4fkbxVlQtNASPk5e2e
Tops,23:35 - 00:20,Adidas,10.06.22,2SdK1QDmZIP2hk94rSaLl9
Priya Ragu,01:15 - 02:00,Adidas,10.06.22,6iZTyHbQWGzpiWoyI0zz9F
Cautious Clay,02:55 - 03:40,Adidas,10.06.22,6iWuBN32BqCJAeXW6o3nil
Tarquim,16:00 - 17:00,Auditori,10.06.22, 7qMC73hJTezS5KODuYn8ta
Apartamentos Acapulco,17:30 - 18:30,Auditori,10.06.22,5MJEbh71qd0GTKQdKko3TT
CMAT,19:00 - 20:00,Auditori,10.06.22,3VBNIRx1LxVdRqOiPgkLwv
Rigoberta Bandini,21:00 - 22:00,Auditori,10.06.22,7DOERbtkx9aTLvWzZSB0qx
Marco Shuttle,22:15 - 23:25,Desperados Cube (Primavera Bits),10.06.22,2DqPerh6whhlts8Pb0BUJi
Efdemim,23:25 - 00:35,Desperados Cube (Primavera Bits),10.06.22,6hjRjVNLWTCPYci9nxhI1G
Pangaea,00:35 - 02:05,Desperados Cube (Primavera Bits),10.06.22,08Z0yhWGksNk3wceqlCeGE
LCY ,02:05 - 03:05,Desperados Cube (Primavera Bits),10.06.22,4UUWo1AiaKMCi76yo69O1U
Black Coffee,04:35 - 06:00,Desperados Cube (Primavera Bits),10.06.22,6wMr4zKPrrR0UVz08WtUWc
Bad Boy Chiller Crew,00:00 - 00:45,El Punto by adidas Originals (Primavera Bits),10.06.22,5SRr4ZJMoygWecytkIwlaV
Special Interest,00:45 - 01:45,El Punto by adidas Originals (Primavera Bits),10.06.22,2CYTLJOt91YLe1JLStFu6m
